Code,Name,Url,Rating,Difficulty,Tags
1042,Country Level Economics: Macroeconomic Variables and Markets,https://coursera.org/learn/country-level-economics,4.2,None,'Finance'
1048,Data Modeling and Regression Analysis in Business,https://coursera.org/learn/data-modeling-regression-analysis-business,4.3,Intermediate Level,'Leadership and Management'
1051,Private Equity and Venture Capital,https://coursera.org/learn/private-equity,4.8,None,'Finance'
1052,The Role of Global Capital Markets,https://coursera.org/learn/capital-markets,4.6,None,'Finance'
1054,Finance for Non-Financial Managers,https://coursera.org/learn/finance-for-non-financial-managers,4.5,Intermediate Level,'Finance'
1056,Applying Data Analytics in Finance,https://coursera.org/learn/applying-data-analytics-business-in-finance,4.6,Intermediate Level,'Leadership and Management'
1058,Global Financial Markets and Instruments,https://coursera.org/learn/global-financial-markets-instruments,4.6,None,'Finance'
1064,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,https://coursera.org/learn/negotiation,4.8,None,'Business Essentials'
1065,Accounting Analytics,https://coursera.org/learn/accounting-analytics,4.5,None,'Finance'
1068,Financing and Investing in Infrastructure,https://coursera.org/learn/infrastructure-investing,4.8,None,'Finance'
1069,Fundamentos del marketing mix,https://coursera.org/learn/fundamentos-marketing-mix,4.5,Beginner Level,'Marketing'
1075,Sustainable Innovation for Subsistence Marketplaces,https://coursera.org/learn/subsistence-marketplaces-1,4.5,Beginner Level,'Leadership and Management'
1078,Customer Analytics,https://coursera.org/learn/wharton-customer-analytics,4.5,None,'Business Strategy'
1081,Federal Taxation II: Property Transactions of Business Owners and Shareholders,https://coursera.org/learn/federal-taxation-business,4.9,Intermediate Level,'Business Essentials'
1082,Wharton Business Foundations Capstone,https://coursera.org/learn/wharton-capstone,4.6,None,'Business Essentials'
1084,Action-Driven Business Plan: From the â€˜Classroomâ€™ to the World,https://coursera.org/learn/startup-entrepreneurship-capstone,None,None,'Entrepreneurship'
1091,Writing Professional Email and Memos (Project-Centered Course),https://coursera.org/learn/professional-emails,4.3,None,'Business Essentials'
